BookID,Title,Author,Genre,Description
1,Harry Potter and the Philosopher's Stone,J.K. Rowling,Fantasy,A young wizard begins his magical journey at Hogwarts
2,Harry Potter and the Chamber of Secrets,J.K. Rowling,Fantasy,A young wizard discovers a mysterious chamber at Hogwarts
3,Harry Potter and the Prisoner of Azkaban,J.K. Rowling,Fantasy,A young wizard learns about his past and faces a dangerous prisoner
4,The Hobbit,J.R.R. Tolkien,Fantasy,A hobbit goes on an unexpected adventure with dwarves and a wizard
5,The Lord of the Rings,J.R.R. Tolkien,Fantasy,A group of friends begins an epic journey to destroy a powerful ring
6,Percy Jackson and the Lightning Thief,Rick Riordan,Fantasy,A young boy discovers that he is connected to Greek mythology
7,The Chronicles of Narnia,C.S. Lewis,Fantasy,Children enter a magical world filled with adventure and mythical creatures
8,The Alchemist,Paulo Coelho,Fiction,A young shepherd travels in search of treasure and discovers his purpose
9,Atomic Habits,James Clear,Self Help,A practical book about building good habits and improving daily routines
10,Rich Dad Poor Dad,Robert Kiyosaki,Finance,A book about money financial education and personal finance
11,The Psychology of Money,Morgan Housel,Finance,A book about human behavior and decision making related to money
12,Think and Grow Rich,Napoleon Hill,Self Help,A classic book about success mindset and achieving goals
13,Ikigai,Hector Garcia,Self Help,A book about finding purpose happiness and meaning in life
14,The Power of Now,Eckhart Tolle,Self Help,A guide to living in the present moment and developing awareness
15,The Fault in Our Stars,John Green,Romance,A story about two young people who meet and fall in love
